district_name,city,year_started,month_started,one_to_one,grade_levels,device_type,notes,source_url,source_2,enrollment_count,enrollment_size,locale_type,google_search,google_sources
Tippecanoe School Corporation,Lafayette,2015,,Yes,K-12,Mixed (iPads K-1; Chromebooks 2-12),HS phased starting 2015-2016 with freshmen over 3 years; grades 6-12 take home,https://www.tsc.k12.in.us/departments/technology/studenttech,,13663,Large,Rural,,
Tippecanoe Valley School Corporation,Akron,2017,May,Yes,High School,,upper bound; InkFreeNews May 9 2017 reports board approved changes to existing 1:1 Device Protection Plan ($35/year); program already in place by then,https://www.inkfreenews.com/2017/05/09/tippecanoe-valley-school-board-approves-changes-to-11-device-protection-plan/,,1738,Medium,Rural,,
Tipton Community School Corporation,Tipton,,,,,,,,,1366,Medium,Rural,,
Tri-Central Community Schools Corporation,Sharpsville,,,,,,,,,786,Small,Rural,,
Tri-County School Corporation,Wolcott,,,Yes,K-12,Mixed (iPad or Chromebook),district describes 1:1 with iPads or Chromebooks; year not confirmed,https://www.trico.k12.in.us/97-tri-county-primary-web-pages,,791,Small,Rural,,
Tri-Creek School Corporation,Lowell,2012,,Yes,Grades 6-12 (initially); K-12 by 2015,Mixed (iPad or laptop; not Chromebook),per district website: HS and MS started 1:1 laptop program in 2012 (24/7 take-home); expanded to all K-12 in 2015,https://www.tricreek.k12.in.us/departments/educational-technology/index,,3280,Medium,Rural,,
Tri-Township Consolidated School Corporation,Wanatah,,,,,,,,,284,Small,Rural,,
Triton School Corporation,Bourbon,,,,,,,,,931,Small,Rural,,
Twin Lakes School Corporation,Monticello,,,Yes (likely),Not specified,Chromebook,district described as integrating tech with classroom Chromebooks per district profile; year not confirmed,https://www.tlschools.org/,,2102,Medium,Rural,,
Union County/College Corner Joint School District,Liberty,2020,,Yes,K-12 (all students),Chromebook,district implemented 1:1 in 2020 for all K-12; chose Chromebooks for cost and Google tools per district tech page,https://www.uc.k12.in.us/technology,,1278,Medium,Rural,,
Union School Corporation,Modoc,,,,,,FB has no chromebook or ipad results; no public 1:1 device evidence found,https://www.facebook.com/unionschoolcorporation/,,7821,Large,Rural,,
Union Township School Corporation,Valparaiso,2021,,Yes,K-12,Chromebook,RFP issued for 2021-2022 school year,https://www.union.k12.in.us/article/346366?org=utsc,,1386,Medium,Rural,,
Union-North United Schools,Lakeville,,,Yes,K-1 iPads / 2-12 Chromebooks,Mixed (iPad K-1; Chromebook 2-12),district curriculum page describes 1:1 access; year not confirmed,https://unionnorth.org/curriculum/,,1221,Medium,Rural,,
Valparaiso Community Schools,Valparaiso,2018 (by),November,Yes,Grades 2-12,Mixed (Chromebooks 3-12; iPads grade 2),FB device search 2018-11-05 'Tomorrow is our first eLearning Day! Students will... complete assignments on a device' - confirms take-home device program by Nov 2018; MS/HS 1:1; grades 3-5 classroom carts,https://www.nwitimes.com/news/local/porter/valparaiso/the-future-depends-on-students-ability-to-use-technology/article_e96f9c1d-4216-58bb-85b0-31ad753c20ad.html,https://www.facebook.com/profile/100063403516889/search/?q=device,6325,Large,Suburban,,
Vigo County School Corporation,Terre Haute,2020,,Yes,K-12 (~14000 students),Chromebook,Originally planned for ~2024; accelerated ~4 years by pandemic,https://www.tribstar.com/news/indiana_news/lasting-impact-pandemic-changing-education-delivery/article_dc8a9e3d-37a8-54ae-8c7b-7dddbc4470e9.html,,13277,Large,Urban,,
Vincennes Community School Corporation,Vincennes,2018,July,Yes (HS),Lincoln HS confirmed,Chromebook,"upper bound; FB AUP search shows post 2018-07-13 'LHS Acceptable Use Policy and Early Chromebook Pickup Information' linking to 'LHS Chromebook AUP 2018-19' page; chromebook search alone only showed 2025 (FB filters term coverage)",https://www.facebook.com/profile/100063737583123/search/?q=AUP,https://www.facebook.com/profile/100063737583123/search/?q=chromebook,2708,Medium,Rural,,
Wabash City Schools,Wabash,2011,,Yes,All students,Computer (not confirmed Chromebook),"One of Indiana's earliest 1:1 adopters; MS in 2011, rest in 2012",https://www.apaches.k12.in.us/technology,,1463,Medium,Rural,,
Wa-Nee Community Schools,Nappanee,,,,,,FB chromebook and ipad searches both returned no results; no public 1:1 device evidence found,https://www.facebook.com/waneeschools/,,2848,Medium,Rural,,
Warrick County School Corporation,Boonville,2020,,Yes,K-12,Chromebook,upper bound; Tecumseh HS Chromebook Agreement dated 2020-2021; district has 1:1 Initiative Survey Results page,https://www.readkong.com/page/tecumseh-high-school-2020-2021-warrick-county-school-6268033,https://www.warrick.k12.in.us/337222_2,9858,Large,Suburban,,
Warsaw Community Schools,Warsaw,2018 (by),July,Yes,Not specified,iPad (not Chromebook),"upper bound; FB post 2018-07-17 announces new One2One iPad invoice/inventory system; 2018-08-08 post 'WCS iPad Insurance Enrollment Open Now'; iPad district",https://www.facebook.com/profile/100063642875165/search/?q=ipad,,6709,Large,Rural,,
Washington Community Schools,Washington,,,Yes (JH at least),Jr High room/period based,Mixed (Chromebook and iPad),WJHS is 1:1 with room/period-based deployment; eLearning days send Chromebooks/iPads home; year not confirmed,https://wjhs.washingtoncommunityschools.org/our-school/student-handbook-2024-2025,https://www.washingtoncommunityschools.org/academics/elearning,2639,Medium,Rural,,
Wawasee Community School Corporation,Syracuse,2016 (by),September,Yes,K-12 (likely),Chromebook,"upper bound; oldest FB chromebook post 2016-09-29 (Device Insurance signup deadline via Worth Ave Group); 2017-07-11 'new Chromebook cases have arrived'; rollout likely earlier",https://www.facebook.com/profile/100063650216933/search/?q=chromebook,,2638,Medium,Rural,,
Wes-Del Community Schools Corporation,Gaston,,,,,Chromebook,district uses Chromebooks (students bring fully charged daily) but year not confirmed via public source,https://www.wes-del.k12.in.us/,,862,Small,Rural,,
West Central School Corporation,Francesville,,,Yes,K-12 (elem no take-home),,district profile mentions 'one-to-one technology' and elem doesn't take home; year and device type not confirmed,https://www.francesville.net/west-central-school-corp.html,,627,Small,Rural,,
West Lafayette Community School Corporation,West Lafayette,2023,,Yes,Jr/Sr HS (Lenovo 300e),Chromebook,upper bound; school-provided Chromebook free as of 2023-24 per district mobile device page; program existed before this year,https://www.wl.k12.in.us/departments/technology/mobile-device-initiative,,2343,Medium,Urban,,
West Noble School Corporation,Ligonier,,,Yes,Grades 5-11,Chromebook,1:1 Chromebook for grades 5-11 (district keeps over summer); start year not confirmed,https://www.westnoble.k12.in.us/services/technology,,2192,Medium,Rural,,
West Washington School Corporation,Campbellsburg,2019,,Yes,Jr/Sr HS (elem no take-home),Chromebook,"upper bound; West Washington Chromebook handbook dated 2019-2020; $30 annual damage insurance required for HS, elem not charged",https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/428712/Chromebook_Policy__Procedures__and_Information.pdf,,939,Small,Rural,,
Western Boone County Community School District,Thorntown,,,Yes (7-12),Grades 7-12 take home,Laptop (not Chromebook),"1:1 laptop program; grades 7-12 take home, elem uses laptops but does not take home; year not confirmed",https://www.weboschools.org/parents/technology/11-learning-initiative,,1574,Medium,Rural,,
Western School Corporation,Russiaville,,,,,,FB chromebook search no results; device search hits are bus tracking and internet speed test (unrelated); no rollout evidence found,https://www.facebook.com/WSCPanthers/,,2542,Medium,Rural,,
Western Wayne Schools,Pershing,2014,,,Mixed (iPads/laptops/Chromebooks),Mixed,"upper bound; per Scribd district tech doc, 2014-15 had 100+ iPads, 100+ laptops, 45+ Chromebooks; goal of 1:1 within 2 years (i.e. by ~2016-17)",https://www.scribd.com/doc/253902365/western-wayne-school-technology-initiatives,,739,Small,Rural,,
Westfield Washington Schools,Westfield,2018,,Yes,K-12,Chromebook,"Grades 6-9 via textbook rental; K-5 classroom carts; protection plan ""over seven years"" as of ~2025",https://www.wws.k12.in.us/departments/technology/11-device-program,,10124,Large,Suburban,,
Westview School Corporation,Topeka,2020,August,Yes,9th grade (initially),Chromebook,"upper bound; freshman Chromebook pickup post Aug 5, 2020 on Westview Jr-Sr HS FB; corp-level FB has no Chromebook posts so rollout appears HS-only",https://www.facebook.com/profile/100063966578693/search/?q=chromebook,https://www.westview.k12.in.us/o/westview-jr-sr-hs/article/494715,1931,Medium,Rural,,
White River Valley School District,Switz City,2020,May,,K-12 (HS/MS/ES),iPad,"upper bound (FB iPad drop-off post May 21, 2020 — likely COVID return; district uses iPads not Chromebooks)",https://www.facebook.com/profile/100064931017168/search/?q=ipad,,704,Small,Rural,,
Whitko Community School Corporation,South Whitley,2017,September,Yes,Grades 5 and 9 (rolling 4-year cycle),Chromebook,upper bound (Sept 2017 InkFreeNews describes ongoing 1:1; students keep device 4 years),http://www.inkfreenews.com/2017/09/13/digital-citizenship-week-highlighted-at-whitko/,,1103,Medium,Rural,,
Whitley County Consolidated Schools,Columbia City,2018,,Yes,K-12,Chromebook,Active by at least 2018-2019; every student has daily device access,https://www.wccsonline.com/,,3686,Medium,Rural,,
Yorktown Community Schools,Yorktown,2018,,Yes,K-12 (district-wide),Chromebook,1:1 since 2018-19 per Jo Cox (Tech Integration Specialist) quoted in Business View Magazine,https://businessviewmagazine.com/yorktown-community-schools-yorktown-indiana-delaware-county/,,2793,Medium,Suburban,,
Zionsville Community Schools,Zionsville,2014 (by),July,Yes,Grades 5-12 (HS by 2025),Mixed,FB device-search 2014-07-22 link to Current Zionsville article 'Zionsville Community School goes virtual'; 2013-09-26 'A Postcard from our Children's Future' by Robison; HS freshmen/sophomores Chromebooks fall 2025-2026 was a later expansion not initial 1:1,https://www.zcs.k12.in.us/departments/technology/zionsville-community-schools-chromebook-guidelines,https://www.facebook.com/profile/100063654098105/search/?q=device,7971,Large,Suburban,,
